"행정구역(시군구)별(1)",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"행정구역(시군구)별(1)",계,계,계,계,계,계,계,계,계,계
"서울특별시",1520090,1573594,1589431,1515602,1472937,1439707,1426493,1578127,1418187,1201527
"부산광역시",478451,485710,507031,459015,439073,416095,411704,491829,441323,383848
"대구광역시",351873,350213,351424,328228,321182,321158,312419,347248,304761,265354
"인천광역시",461613,452297,473223,441646,409465,433639,420014,444556,433137,395140
"광주광역시",226696,243066,224603,213176,208138,218892,217130,226163,212888,182924
"대전광역시",230858,239559,220774,219252,211449,212879,212424,232321,211565,198705
"울산광역시",159492,176015,170393,148190,135199,127922,142056,136112,129880,107747
"세종특별자치시",23805,56526,83994,65052,82073,86433,82398,78934,76912,65529
"경기도",1895434,1891775,1993080,1958593,1888324,2041715,1940962,2152572,2036215,1645990
"강원도",217917,228369,227125,223484,211653,216398,217626,223354,217103,194864
"충청북도",215973,215944,214626,202679,197177,218886,211396,229895,214300,185419
"충청남도",281428,289627,289952,286764,288738,292305,258790,287127,282195,260488
"전라북도",258198,274337,261832,248188,232047,243324,228775,249083,223710,199432
"전라남도",244329,260278,250104,234132,227504,224384,224483,239016,223619,191956
"경상북도",329118,337041,344730,315652,311061,309446,306511,317701,317866,263156
"경상남도",427658,462239,455384,411952,413179,389714,396251,403339,374782,323211
"제주특별자치도",88851,92508,97580,106825,105027,104202,94966,98114,94979,86865
